Company,Rating,Reviews,Salaries,Jobs
Honeywell Technology Solutions,3.7,1.5k,11.3k,--
Fusion Finance,3.9,1.5k,3.4k,2
NIIT,3.4,1.5k,6.1k,22
Oberoi Group of Hotels,4.0,1.5k,3.8k,--
Morningstar,3.7,1.5k,10.7k,58
R Systems International,3.8,1.5k,7.8k,47
Indegene,3.2,1.5k,10.1k,32
Amara Raja Energy & Mobility,4.0,1.5k,4.3k,--
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.5k,5.1k,21
Narayana Educational Society,3.6,1.5k,4.1k,3
Hyatt Regency,4.1,1.5k,3.1k,2
Taurus BPO Services,4.0,1.5k,1k,2
MedPlus,3.5,1.5k,4.6k,50
AB InBev India,3.3,1.5k,8k,74
Aerial Telecom Solutions,4.1,1.5k,2.4k,25
Nykaa,3.4,1.5k,7.2k,36
Sony,4.1,1.5k,4.7k,2
Vfs Global Services,3.4,1.5k,4.4k,15
Tieto,4.1,1.5k,9.4k,9
TEKsystems,3.1,1.5k,11.6k,38
DCM Shriram,4.1,1.5k,5.2k,25
Sansera Engineering,4.0,1.5k,5.7k,1
Citco,3.1,1.4k,10.3k,126
TÜV SÜD,4.0,1.4k,3.9k,29
Eaton,3.9,1.4k,8.5k,9
Adobe,3.7,1.4k,13.8k,137
Hire In Global,4.9,1.4k,8,--
Kantar,3.4,1.4k,6.9k,--
J. Kumar Infraprojects,4.1,1.4k,4.4k,5
Agilus Diagnostics,4.1,1.4k,3.4k,14
Slk Software Services,3.2,1.4k,9.3k,--
Acmegrade,3.9,1.4k,293,2
JSW Cement,4.0,1.4k,4.5k,18
AtkinsRealis,3.7,1.4k,6.3k,438
Tenarai,3.5,1.4k,11.1k,67
Xiaomi,3.7,1.4k,5.7k,6
VLCC,3.2,1.4k,3.4k,43
Unisys,3.4,1.4k,10.2k,27
Oracle Financial Services Software,3.2,1.4k,10.4k,--
Rashmi Metaliks,3.1,1.4k,5k,9
EOSGlobe,3.0,1.4k,4k,7
FedEx Express,4.0,1.4k,5.3k,126
Tata Group,4.2,1.4k,5.7k,--
The Muthoot Group,3.6,1.4k,3.5k,--
Sunknowledge Services,3.4,1.4k,4k,17
Fino Payments Bank,3.7,1.4k,4k,9
iMerit,3.2,1.4k,6k,12
Novo Nordisk,3.6,1.4k,6.7k,190
Incedo,2.9,1.4k,10.8k,68
Worley,4.1,1.4k,7.6k,140
Bajaj Housing Finance,3.5,1.4k,6k,82
Amity University,3.5,1.4k,5.2k,6
Sharekhan,3.7,1.4k,5.3k,133
IDC Technologies,3.1,1.4k,6.8k,--
INDIUM,3.9,1.4k,7.3k,29
NetAmbit,4.0,1.4k,3.1k,4
The Ramco Cements,4.0,1.4k,4.6k,12
TE Connectivity,4.1,1.4k,7.8k,204
Grant Thornton,3.3,1.4k,12k,296
TCS iON,3.8,1.4k,4.1k,--
Unichem Laboratories,3.7,1.4k,5.2k,44
Iffco Tokio General Insurance Co.,3.8,1.4k,4.2k,--
Paytm Payments Bank,3.8,1.4k,5.5k,--
Viraj Profiles,4.1,1.4k,4.5k,12
Faurecia,3.9,1.4k,6k,25
Aforeserve,3.4,1.4k,3.6k,15
Brillio,3.4,1.4k,11.1k,10
CenturyPly,3.8,1.4k,4.6k,26
Burger King,4.0,1.4k,3.6k,--
ZF Steering Gear,3.7,1.4k,7.7k,17
Bharat FIH,3.7,1.4k,5.2k,--
SK Finance Limited,3.8,1.4k,3.9k,--
Aptara,3.1,1.4k,6.4k,18
Hindware Limited,3.9,1.4k,4.6k,8
CreditAccess Grameen,3.9,1.4k,2.7k,14
FDC,3.7,1.4k,3.8k,31
More Supermarket,3.7,1.4k,4.1k,46
GEP Worldwide,3.6,1.4k,9.6k,12
Baroda Global Shared Services,3.9,1.4k,3.1k,37
Globant,3.3,1.4k,10.8k,95
RBL FinServe,3.9,1.4k,3.1k,6
Sheenlac Paints,4.1,1.4k,1.8k,2
Hatsun Agro Product,3.8,1.4k,4.9k,15
OM Logistics,3.9,1.4k,4k,2
Nippon Paint India,4.0,1.4k,4k,2
Decathlon,3.7,1.4k,4.5k,--
Punjab National Bank,3.9,1.4k,3k,--
Collabera Talent Solutions,3.4,1.4k,7k,1
NxtWave,3.5,1.4k,3.7k,218
ManpowerGroup,3.6,1.4k,5.3k,197
Royal Migration Solutions,4.9,1.4k,5,--
DEXIT Global,3.4,1.4k,5.3k,3
JioMart,3.9,1.4k,4.4k,--
GE,4.1,1.4k,7.5k,2
Astral Pipe,3.9,1.3k,4.4k,102
ICICI Prudential Mutual Fund,3.9,1.3k,5.9k,--
Shubham Housing Development Finance,4.0,1.3k,3k,8
Centre for Development of Advanced Computing,3.6,1.3k,7k,--
Cinépolis,3.8,1.3k,3k,--
VIBGYOR Group of Schools,3.5,1.3k,4.3k,254
Mondelez International,4.1,1.3k,4.8k,93
Spicejet,3.3,1.3k,5.1k,2
Ion Exchange India,3.7,1.3k,5.4k,37
Apex Group,2.6,1.3k,8.7k,479
Atul,3.9,1.3k,5.3k,2
Samsung Research,2.9,1.3k,10.1k,2
Jakson Group,4.1,1.3k,4.1k,28
Luminous Power Technologies,4.1,1.3k,4.2k,18
Aarvee Associates,3.7,1.3k,3.3k,--
Spandana Sphoorty Financial,3.8,1.3k,2.5k,8
T-Systems ICT India,3.7,1.3k,9.2k,25
Fabindia,3.7,1.3k,4k,58
Big Bazaar,4.4,1.3k,2.1k,--
Pantaloons,4.1,1.3k,3k,--
Tenneco,3.6,1.3k,5.4k,14
OpenText Technologies,3.3,1.3k,12.5k,11
Bluestock ™,4.5,1.3k,64,--
Hindustan Construction Company,4.2,1.3k,3.2k,9
Vestas,4.1,1.3k,5.5k,31
ANZ Banking Group,3.7,1.3k,8.5k,12
Godrej Consumer Products,4.0,1.3k,5k,2
H.G. Infra Engineering,3.9,1.3k,3.3k,7
Willis Towers Watson,3.7,1.3k,8.2k,20
Fresenius Kabi,4.0,1.3k,4.2k,7
DP World,3.8,1.3k,5.5k,197
KIMS Hospital,3.8,1.3k,3.8k,7
Dassault Systemes,3.7,1.3k,7.6k,--
Arvind Fashions Limited,3.8,1.3k,3.4k,38
Zoho,4.1,1.3k,10.5k,--
Prodapt,3.5,1.3k,10.1k,73
Diageo,3.7,1.3k,6.5k,29
Panasonic,4.0,1.3k,4.7k,10
Sigma Electric Manufacturing Corporation,4.0,1.3k,2.8k,14
Mu Sigma,2.5,1.3k,6.8k,--
SKF,4.0,1.3k,4.7k,63
Automotive Manufacturers,3.8,1.3k,5.2k,72
PNC Infratech,3.8,1.3k,3.5k,--
Electronics Corporation of India Limited,4.2,1.3k,3.2k,9
Intertek,3.8,1.3k,4.1k,54
Kalpataru Limited,4.1,1.3k,4.6k,35
Shriram Pistons & Rings,4.0,1.3k,4.7k,4
iSON Xperiences,3.1,1.3k,3.3k,24
AIIMS,4.2,1.3k,4.7k,--
AGS Transact Technologies,2.8,1.3k,3.8k,--
Dell EMC,3.7,1.3k,8.3k,--
Colliers India,3.9,1.3k,5k,77
Indostar Capital Finance Limited,4.3,1.3k,2.1k,1
DLF,4.0,1.3k,5.1k,23
Parexel International,3.8,1.3k,6.2k,15
Rockman Industries,3.8,1.3k,3.9k,23
Synchrony,4.3,1.3k,5.6k,25
Nielsen,3.1,1.3k,6.9k,2
Ahluwalia Contracts India,4.0,1.3k,3.7k,19
JTEKT,4.1,1.3k,4.5k,4
Oil And Natural Gas Corporation,4.3,1.3k,3.1k,--
Wind World,4.0,1.3k,3.3k,--
Qualcomm,3.7,1.2k,15.6k,20
ExcelR,3.6,1.2k,1.1k,24
Strides Pharma,3.9,1.2k,4.5k,--
Jindal X,3.5,1.2k,2.8k,1
Kirloskar Oil Engines,4.1,1.2k,4.3k,21
Fidelity Investments,4.1,1.2k,8.1k,1
JK Lakshmi Cement,3.7,1.2k,3.9k,--
Balkrishna Industries,4.0,1.2k,4.5k,--
DENSO,4.1,1.2k,3.8k,4
Innova Solutions,3.3,1.2k,8.4k,97
Zetwerk,4.0,1.2k,4.4k,148
Rupeek,4.1,1.2k,3.4k,24
Federal Bank,3.6,1.2k,6.1k,--
Genius HRTech,3.7,1.2k,4k,1
Schaeffler India,4.0,1.2k,6k,16
Fidelity National Financial,3.7,1.2k,6.3k,4
Best Sellers,4.1,1.2k,3.2k,2
ACG Worldwide,3.8,1.2k,4k,61
EbixCash Limited,3.5,1.2k,5.1k,--
Leadec India,4.0,1.2k,3.5k,46
Sri Chaitanya Techno Schools,3.4,1.2k,3.7k,--
Imperial Auto Industries,3.7,1.2k,5k,17
Aparna Constructions and Estates,3.8,1.2k,4.2k,50
Baazar Retail Private Limited,4.4,1.2k,1.6k,2
Aptiv,3.4,1.2k,8.8k,11
Meril,3.5,1.2k,5.2k,27
Intel,4.1,1.2k,9.5k,50
Prism Johnson,3.7,1.2k,4.5k,--
Indira IVF Hospital,3.8,1.2k,3.1k,84
PHN Technology,4.2,1.2k,402,4
HFCL Limited,3.7,1.2k,4.2k,11
Salesforce,3.9,1.2k,15.4k,396
London Stock Exchange Group,3.6,1.2k,11.6k,1
IIFL Home Finance,3.8,1.2k,3.1k,1.5k
Thyrocare Technologies,3.7,1.2k,4.4k,35
Electronica Finance,4.1,1.2k,2.8k,26
Birla Opus,4.0,1.2k,2.8k,--
Birla Corporation,4.0,1.2k,3.8k,12
PayPal,3.7,1.2k,10.4k,--
MDIndia Health Insurance TPA,3.6,1.2k,3.9k,42
Deccan Fine Chemicals,3.6,1.2k,5.3k,8
Johnson Lifts,3.9,1.2k,3.6k,8
The Jaypee Group,3.8,1.2k,3.4k,11
FOCUS EDUMATICS,2.9,1.2k,3.1k,--
Nilkamal,3.6,1.2k,3.8k,38
Podar International School,4.0,1.2k,3.3k,10
Coca-Cola Company,4.0,1.2k,3.5k,--
Biocon Biologics,3.7,1.2k,7.2k,1
Dhoot Transmission,3.7,1.2k,3.9k,3
Apollo Health and Lifestyle Limited,4.3,1.2k,3.6k,52
CaratLane - A Tata Product,4.0,1.2k,3.2k,12
Stanza Living,3.4,1.2k,3.6k,19
INDO-MIM,4.0,1.2k,4.5k,16
Innodata India Private Limited,3.7,1.2k,3.2k,43
Kinara Capital,4.4,1.2k,2.2k,3
Barclays Shared Services,3.7,1.2k,4.5k,617
Ocwen Financial Solutions,3.7,1.2k,4.2k,19
Navitasys India,4.0,1.2k,2.8k,5
Motilal Oswal Home Finance,4.3,1.2k,1.5k,--
Dishtv,3.4,1.2k,3.4k,20
Bajaj Motors,3.9,1.2k,3.5k,13
Edelweiss Life Insurance,3.7,1.2k,3.7k,51
Svatantra Microfin,3.9,1.2k,2.3k,11
Kohler,3.6,1.2k,5.3k,16
Jabil Circuit India,4.0,1.2k,4.4k,64
V2 Retail,3.3,1.2k,2.7k,47
Asirvad Microfinance,3.8,1.2k,2.3k,4
Jacobs Engineering Group,4.2,1.2k,5.4k,7
Edelweiss,3.6,1.2k,5.5k,--
1Point1 Solutions Ltd,3.6,1.2k,3.1k,73
Onward Technologies Inc,2.8,1.2k,6.4k,36
Unicharm,3.9,1.2k,3k,2
Advantmed,4.0,1.2k,2.9k,19
Air India Sats Airport Services,3.6,1.1k,2.6k,--
TÜV NORD,3.7,1.1k,4.2k,156
Piaggio,3.6,1.1k,3.9k,44
TK Elevator,3.8,1.1k,4.4k,5
Barbeque Nation,3.9,1.1k,2.8k,5
MG Motor,3.9,1.1k,4.9k,32
Hyundai Mobis,3.7,1.1k,5.3k,--
Unity Small Finance Bank,3.6,1.1k,4.4k,33
Zydus Wellness,4.1,1.1k,2.9k,28
Sundaram Finance,3.9,1.1k,3k,5
ICON Plc,4.0,1.1k,4.7k,2
MAHLE ANAND Filter Systems,3.9,1.1k,3.6k,--
Hikal,3.8,1.1k,4.8k,6
Tube Investments of India,3.8,1.1k,3.8k,33
BDR Pharmaceuticals International,4.2,1.1k,2.1k,19
Hinduja Housing Finance,3.7,1.1k,2.9k,21
Tata Capital Housing Finance,3.9,1.1k,3.4k,--
Hitachi Energy,4.0,1.1k,8k,695
Godrej Agrovet,4.0,1.1k,3.6k,6
Kirloskar Brothers,3.8,1.1k,4.4k,28
Knorr-Bremse,3.3,1.1k,5.3k,5
Aarvi Encon,4.0,1.1k,3.1k,257
Wonder Home Finance,4.6,1.1k,802,2
Syngenta,4.1,1.1k,3.8k,33
